life_claim_number,related_life_policy_number,beneficiary_party_identifier,claim_intimation_date,death_notification_date,claimant_relationship,beneficiary_settlement_amount,claim_status,nominee_document_review_status,maturity_claim_amount
LIFE_CLM_0034,LIFE_POL_030,LIFE_BEN_019,2023-12-06,2024-09-24,ALMOST,180560.98,APPROVED,ACTIVE,125068.12
LIFE_CLM_0001,LIFE_POL_017,iLIFE_BEN_015,i2025-13-40,2018-09-07,THREAT,-125191.17,UNKNOWN_X,INACTIVE,6770.9
LIFE_CLM_0001,LIFE_POL_013,iLIFE_BEN_017,i2025-13-40,2019-03-30,ARRIVE,-114850.43,iACTIVE,ACTIVE,146252.68
LIFE_CLM_0001,LIFE_POL_002,iLIFE_BEN_002,i2025-13-40,2024-08-06,INCLUDING,i71057.73,iACTIVE,INACTIVE,134636.0
LIFE_CLM_0038,LIFE_POL_028,LIFE_BEN_004,2018-08-10,2022-08-15,MANY,108301.01,REJECTED,INACTIVE,191200.33
LIFE_CLM_0039,LIFE_POL_012,LIFE_BEN_002,2019-07-19,2019-08-21,WAR,100744.82,APPROVED,INACTIVE,138752.51
LIFE_CLM_0040,LIFE_POL_003,LIFE_BEN_013,2025-02-27,2020-02-16,TECHNOLOGY,126559.63,REJECTED,ACTIVE,33037.18
LIFE_CLM_0041,LIFE_POL_004,LIFE_BEN_013,2021-03-31,2025-01-17,ACTUALLY,93926.39,REJECTED,INACTIVE,188986.33
LIFE_CLM_0042,LIFE_POL_007,LIFE_BEN_020,2019-01-14,2024-07-14,SEND,127771.51,OPEN,ACTIVE,10689.58
LIFE_CLM_0043,LIFE_POL_023,LIFE_BEN_011,2020-02-13,2021-04-10,SPEND,201187.5,PENDING_DOCS,ACTIVE,151958.87
LIFE_CLM_0044,LIFE_POL_017,LIFE_BEN_005,2021-10-08,2020-02-07,SING,82663.5,REJECTED,ACTIVE,98845.69
LIFE_CLM_0001,LIFE_POL_020,iLIFE_BEN_024,i1900-00-00,2019-09-11,MAGAZINE,-210807.88,UNKNOWN_X,INACTIVE,177476.21
LIFE_CLM_0001,LIFE_POL_010,iLIFE_BEN_016,i1900-00-00,2024-07-23,BETWEEN,i204121.46,iACTIVE,INACTIVE,168777.79
LIFE_CLM_0001,LIFE_POL_014,iLIFE_BEN_019,i2025-13-40,2023-09-01,DETAIL,i77611.78,INVALID_STATUS,INACTIVE,67117.08
LIFE_CLM_0048,LIFE_POL_021,LIFE_BEN_026,2022-01-09,2021-04-23,RESPONSIBILITY,243042.16,APPROVED,ACTIVE,146297.3
LIFE_CLM_0049,LIFE_POL_006,LIFE_BEN_017,2020-08-27,2025-12-18,FUTURE,157627.29,PENDING_DOCS,ACTIVE,205593.66
LIFE_CLM_0050,LIFE_POL_008,LIFE_BEN_002,2019-05-08,2023-05-09,SHOULD,143570.0,OPEN,ACTIVE,5715.4
