transaction_id,order_id,transaction_date,amount,currency,transaction_type,status,gateway
TXN00000021,ORD00000688,2025-08-16 15:00:24,4240.0,EUR,Refund,Success,Authorize.Net
TXN00000022,ORD00004151,2025-07-09 15:00:24,1331.97,USD,Chargeback,Pending,Square
TXN00000023,ORD00000762,2025-08-11 15:00:24,1950.63,GBP,Chargeback,Pending,Square
TXN00000024,ORD00000532,2025-06-06 15:00:24,1702.42,GBP,Refund,Pending,Square
TXN00000025,ORD00003350,2025-12-01 15:00:24,409.01,GBP,Chargeback,Success,Authorize.Net
TXN00000026,ORD00003712,2026-01-14 15:00:24,3332.57,CAD,Refund,Failed,Authorize.Net
TXN00000027,ORD00002753,2025-11-14 15:00:24,3772.96,EUR,Chargeback,Failed,Square
TXN00000028,ORD00002338,2025-02-28 15:00:24,3494.45,GBP,Chargeback,Pending,Square
TXN00000029,ORD00001119,2026-01-03 15:00:24,288.26,EUR,Chargeback,Failed,PayPal
TXN00000030,ORD00004144,2025-02-27 15:00:24,1482.24,USD,Refund,Success,Stripe
TXN00000031,ORD00004653,2026-01-09 15:00:24,906.68,CAD,Purchase,Pending,Authorize.Net
TXN00000032,ORD00000541,2025-03-14 15:00:24,398.63,USD,Purchase,Pending,Authorize.Net
TXN00000033,ORD00001186,2025-12-18 15:00:24,3334.06,CAD,Purchase,Pending,Square
TXN00000034,ORD00004268,2025-10-29 15:00:24,4480.77,USD,Chargeback,Failed,PayPal
TXN00000035,ORD00003226,2025-12-17 15:00:24,1921.62,CAD,Chargeback,Pending,Stripe
TXN00000036,ORD00001180,2025-09-20 15:00:24,4575.16,CAD,Purchase,Success,PayPal
TXN00000037,ORD00001917,2025-12-25 15:00:24,975.83,EUR,Purchase,Success,Authorize.Net
TXN00000038,ORD00000446,2025-07-09 15:00:24,1814.29,GBP,Purchase,Success,PayPal
TXN00000039,ORD00000069,2025-09-11 15:00:24,3137.35,GBP,Refund,Success,Square
TXN00000040,ORD00000601,2025-03-18 15:00:24,1403.72,USD,Refund,Failed,Stripe
TXN00000041,ORD00000197,2025-12-17 15:00:24,4867.64,GBP,Refund,Failed,PayPal
TXN00000042,ORD00003014,2025-06-15 15:00:24,834.69,GBP,Chargeback,Success,Square
TXN00000043,ORD00004770,2025-04-18 15:00:24,1364.38,GBP,Purchase,Pending,Authorize.Net
TXN00000044,ORD00004651,2025-03-31 15:00:24,4640.68,EUR,Chargeback,Failed,Authorize.Net
TXN00000045,ORD00002929,2025-04-07 15:00:24,3391.14,EUR,Chargeback,Success,PayPal
TXN00000046,ORD00000550,2025-02-15 15:00:24,3892.28,CAD,Chargeback,Pending,Square
TXN00000047,ORD00004505,2025-09-21 15:00:24,4096.04,CAD,Refund,Success,Square
TXN00000048,ORD00001337,2025-07-11 15:00:24,393.74,CAD,Purchase,Success,Square
TXN00000049,ORD00000925,2025-08-01 15:00:24,3892.46,EUR,Refund,Failed,Square
TXN00000050,ORD00004830,2025-12-27 15:00:24,1363.32,CAD,Purchase,Success,Square
TXN00000051,ORD00002024,2025-10-10 15:00:24,3711.83,EUR,Refund,Failed,Authorize.Net
TXN00000052,ORD00002904,2025-11-27 15:00:24,2407.92,CAD,Chargeback,Pending,Square
TXN00000053,ORD00003148,2025-07-21 15:00:24,4003.48,CAD,Chargeback,Failed,PayPal
TXN00000054,ORD00003760,2025-06-10 15:00:24,2724.28,USD,Chargeback,Success,PayPal
TXN00000055,ORD00003550,2025-05-02 15:00:24,3924.43,CAD,Refund,Failed,Authorize.Net
TXN00000056,ORD00003993,2026-01-13 15:00:24,3252.93,USD,Purchase,Failed,Stripe
TXN00000057,ORD00003240,2025-04-02 15:00:24,267.18,CAD,Purchase,Failed,Stripe
TXN00000058,ORD00001077,2025-03-06 15:00:24,1771.9,USD,Chargeback,Pending,Square
TXN00000059,ORD00000224,2025-08-07 15:00:24,204.96,CAD,Chargeback,Failed,Authorize.Net
TXN00000060,ORD00004676,2025-10-06 15:00:24,2074.87,EUR,Purchase,Pending,Stripe
TXN00000061,ORD00003810,2025-04-02 15:00:24,1270.23,EUR,Chargeback,Failed,Authorize.Net
TXN00000062,ORD00000449,2025-07-14 15:00:24,2406.69,CAD,Refund,Failed,PayPal
TXN00000063,ORD00000285,2025-03-20 15:00:24,3039.46,EUR,Purchase,Failed,PayPal
TXN00000064,ORD00003153,2025-09-02 15:00:24,2563.77,EUR,Purchase,Success,PayPal
TXN00000065,ORD00002924,2025-04-21 15:00:24,4731.36,CAD,Chargeback,Failed,PayPal
TXN00000066,ORD00001569,2025-10-25 15:00:24,3228.08,EUR,Chargeback,Pending,Square
TXN00000067,ORD00003030,2025-03-06 15:00:24,2193.96,EUR,Chargeback,Success,Stripe
TXN00000068,ORD00001225,2025-04-18 15:00:24,2305.29,EUR,Purchase,Success,Stripe
TXN00000069,ORD00004423,2025-05-30 15:00:24,2066.58,CAD,Chargeback,Success,PayPal
TXN00000070,ORD00000881,2025-04-03 15:00:24,1892.95,EUR,Refund,Success,Stripe
TXN00000071,ORD00001961,2025-04-07 15:00:24,4721.3,GBP,Refund,Failed,Square
TXN00000072,ORD00000357,2025-09-30 15:00:24,766.56,CAD,Refund,Success,Stripe
TXN00000073,ORD00000934,2025-10-17 15:00:24,949.17,USD,Purchase,Pending,Authorize.Net
TXN00000074,ORD00002282,2025-08-31 15:00:24,4926.68,GBP,Purchase,Pending,Square
TXN00000075,ORD00004229,2025-09-11 15:00:24,851.13,EUR,Purchase,Failed,Stripe
TXN00000076,ORD00004034,2026-02-07 15:00:24,1282.72,USD,Chargeback,Pending,Square
TXN00000077,ORD00001266,2025-10-10 15:00:24,2520.51,USD,Chargeback,Failed,Authorize.Net
TXN00000078,ORD00003130,2025-06-09 15:00:24,1781.04,EUR,Purchase,Failed,Square
TXN00000079,ORD00000503,2025-12-13 15:00:24,3909.27,USD,Chargeback,Failed,Stripe
TXN00000080,ORD00000053,2025-10-24 15:00:24,1153.23,EUR,Purchase,Pending,PayPal
TXN00000081,ORD00001405,2025-04-15 15:00:24,3318.1,GBP,Chargeback,Failed,PayPal
TXN00000082,ORD00003699,2025-12-14 15:00:24,3745.7,CAD,Refund,Failed,Square
TXN00000083,ORD00001640,2025-12-13 15:00:24,912.1,GBP,Chargeback,Failed,PayPal
TXN00000084,ORD00002626,2025-06-26 15:00:24,1928.19,EUR,Chargeback,Success,Square
TXN00000085,ORD00001415,2025-04-06 15:00:24,3776.31,USD,Purchase,Success,Stripe
TXN00000086,ORD00002482,2025-09-09 15:00:24,347.98,USD,Refund,Pending,Square
TXN00000087,ORD00002223,2025-11-04 15:00:24,3894.89,GBP,Refund,Pending,PayPal
TXN00000088,ORD00003885,2025-04-02 15:00:24,1297.5,EUR,Refund,Failed,Stripe
TXN00000089,ORD00002200,2025-10-15 15:00:24,4327.86,GBP,Purchase,Failed,PayPal
TXN00000090,ORD00001183,2025-08-20 15:00:24,2486.81,EUR,Refund,Pending,Authorize.Net
TXN00000091,ORD00000875,2025-10-14 15:00:24,2404.58,USD,Purchase,Pending,Square
TXN00000092,ORD00003560,2025-07-20 15:00:24,189.72,CAD,Purchase,Failed,Stripe
TXN00000093,ORD00002107,2026-02-07 15:00:24,965.69,GBP,Purchase,Pending,Authorize.Net
TXN00000094,ORD00001178,2025-06-09 15:00:24,1974.09,GBP,Purchase,Failed,Square
TXN00000095,ORD00000226,2025-07-02 15:00:24,86.55,CAD,Purchase,Success,Authorize.Net
TXN00000096,ORD00000936,2025-09-11 15:00:24,1784.85,USD,Purchase,Success,PayPal
TXN00000097,ORD00000546,2025-03-21 15:00:24,1931.31,GBP,Chargeback,Failed,Authorize.Net
TXN00000098,ORD00002861,2025-06-01 15:00:24,4421.44,CAD,Refund,Pending,Stripe
TXN00000099,ORD00002530,2025-11-05 15:00:24,4290.4,EUR,Purchase,Success,Stripe
TXN00000100,ORD00001756,2025-05-17 15:00:24,2928.67,USD,Chargeback,Failed,Square
TXN00000101,ORD00001401,2025-08-17 15:00:24,628.16,EUR,Purchase,Pending,Authorize.Net
TXN00000102,ORD00003313,2025-07-01 15:00:24,385.89,CAD,Chargeback,Success,Authorize.Net
TXN00000103,ORD00000330,2025-03-29 15:00:24,4739.75,USD,Refund,Success,Square
TXN00000104,ORD00000593,2026-01-12 15:00:24,208.65,GBP,Purchase,Success,PayPal
TXN00000105,ORD00003398,2025-02-13 15:00:24,185.42,EUR,Purchase,Failed,Authorize.Net
TXN00000106,ORD00001244,2025-11-11 15:00:24,1942.06,USD,Refund,Failed,Authorize.Net
TXN00000107,ORD00004131,2025-04-27 15:00:24,4260.62,EUR,Purchase,Failed,PayPal
TXN00000108,ORD00002576,2025-10-24 15:00:24,2104.13,CAD,Purchase,Pending,Stripe
TXN00000109,ORD00003945,2025-12-19 15:00:24,3646.67,USD,Refund,Pending,Square
TXN00000110,ORD00000588,2025-11-28 15:00:24,2157.28,USD,Chargeback,Failed,Authorize.Net
TXN00000111,ORD00001090,2025-09-12 15:00:24,555.78,GBP,Refund,Pending,Stripe
TXN00000112,ORD00000356,2026-01-29 15:00:24,4449.37,GBP,Chargeback,Success,PayPal
TXN00000113,ORD00003893,2025-07-27 15:00:24,2122.61,EUR,Refund,Success,PayPal
TXN00000114,ORD00002023,2025-09-23 15:00:24,266.14,CAD,Chargeback,Failed,Stripe
TXN00000115,ORD00004262,2025-06-21 15:00:24,322.67,USD,Chargeback,Failed,PayPal
TXN00000116,ORD00004181,2025-04-17 15:00:24,737.26,EUR,Chargeback,Pending,Stripe
TXN00000117,ORD00004501,2025-12-08 15:00:24,4409.49,EUR,Chargeback,Failed,Authorize.Net
TXN00000118,ORD00002867,2025-02-14 15:00:24,3554.91,GBP,Chargeback,Failed,Authorize.Net
TXN00000119,ORD00001773,2025-05-30 15:00:24,1300.61,EUR,Chargeback,Pending,PayPal
TXN00000120,ORD00004589,2025-04-16 15:00:24,3653.58,CAD,Chargeback,Failed,Square
TXN00000121,ORD00004856,2025-11-01 15:00:24,2057.11,USD,Refund,Success,Authorize.Net
TXN00000122,ORD00000168,2025-06-13 15:00:24,190.05,CAD,Chargeback,Success,PayPal
TXN00000123,ORD00000534,2025-05-01 15:00:24,3342.3,USD,Chargeback,Failed,Authorize.Net
TXN00000124,ORD00003289,2025-04-03 15:00:24,3923.47,EUR,Purchase,Pending,Authorize.Net
TXN00000125,ORD00000423,2025-07-28 15:00:24,1232.64,CAD,Refund,Success,Authorize.Net
TXN00000126,ORD00002876,2025-05-06 15:00:24,4622.32,GBP,Purchase,Success,Stripe
TXN00000127,ORD00003996,2026-01-15 15:00:24,398.11,EUR,Chargeback,Pending,Authorize.Net
TXN00000128,ORD00000539,2026-01-12 15:00:24,3882.74,GBP,Purchase,Pending,Authorize.Net
TXN00000129,ORD00001050,2025-08-02 15:00:24,3087.67,CAD,Purchase,Failed,PayPal
TXN00000130,ORD00003212,2025-02-20 15:00:24,2106.19,USD,Chargeback,Success,Square
TXN00000131,ORD00001065,2025-06-12 15:00:24,318.73,CAD,Refund,Success,Stripe
TXN00000132,ORD00003570,2025-09-12 15:00:24,1319.68,CAD,Refund,Pending,Authorize.Net
TXN00000133,ORD00003865,2025-09-09 15:00:24,4520.42,USD,Refund,Success,Authorize.Net
TXN00000134,ORD00001514,2026-02-12 15:00:24,726.74,EUR,Chargeback,Failed,Square
TXN00000135,ORD00000217,2025-06-04 15:00:24,396.72,CAD,Purchase,Failed,Stripe
TXN00000136,ORD00000984,2026-01-11 15:00:24,848.71,CAD,Refund,Failed,Square
TXN00000137,ORD00004126,2025-05-05 15:00:24,1554.55,EUR,Chargeback,Pending,Stripe
TXN00000138,ORD00003520,2025-03-21 15:00:24,2822.41,CAD,Purchase,Failed,PayPal
TXN00000139,ORD00001657,2025-08-18 15:00:24,306.6,GBP,Purchase,Pending,Square
TXN00000140,ORD00004441,2025-12-31 15:00:24,4316.37,GBP,Purchase,Failed,Authorize.Net
TXN00000141,ORD00004725,2025-10-16 15:00:24,1475.35,CAD,Purchase,Failed,PayPal
TXN00000142,ORD00001704,2025-09-25 15:00:24,4307.64,USD,Refund,Failed,Stripe
TXN00000143,ORD00002713,2025-05-17 15:00:24,1766.37,GBP,Refund,Failed,PayPal
TXN00000144,ORD00002250,2026-01-03 15:00:24,1295.89,EUR,Chargeback,Success,PayPal
TXN00000145,ORD00002953,2025-11-22 15:00:24,844.14,GBP,Chargeback,Pending,Square
TXN00000146,ORD00002329,2025-07-24 15:00:24,3536.07,CAD,Chargeback,Pending,Stripe
TXN00000147,ORD00000113,2025-03-13 15:00:24,1604.05,GBP,Chargeback,Failed,Authorize.Net
TXN00000148,ORD00004955,2025-04-15 15:00:24,2509.19,CAD,Refund,Failed,Square
TXN00000149,ORD00003345,2025-07-13 15:00:24,2472.17,EUR,Refund,Success,PayPal
TXN00000150,ORD00001498,2025-11-09 15:00:24,138.48,EUR,Chargeback,Failed,Authorize.Net
TXN00000151,ORD00003542,2025-09-18 15:00:24,460.45,CAD,Chargeback,Failed,Stripe
TXN00000152,ORD00000780,2025-09-13 15:00:24,4853.09,USD,Purchase,Pending,Square
TXN00000153,ORD00003735,2025-06-11 15:00:24,4828.13,USD,Chargeback,Pending,Square
TXN00000154,ORD00001600,2025-09-05 15:00:24,4990.83,CAD,Chargeback,Failed,Square
TXN00000155,ORD00000598,2025-05-05 15:00:24,2871.43,GBP,Refund,Success,Square
TXN00000156,ORD00000094,2025-10-26 15:00:24,2465.52,USD,Purchase,Pending,Stripe
TXN00000157,ORD00000536,2025-07-15 15:00:24,2420.03,GBP,Chargeback,Failed,Square
TXN00000158,ORD00003587,2025-03-28 15:00:24,2151.14,USD,Purchase,Pending,Authorize.Net
TXN00000159,ORD00001114,2025-05-30 15:00:24,4973.44,CAD,Chargeback,Pending,Square
TXN00000160,ORD00003741,2025-03-06 15:00:24,1211.74,EUR,Purchase,Success,PayPal
TXN00000161,ORD00000841,2026-01-10 15:00:24,4735.28,USD,Purchase,Success,Authorize.Net
TXN00000162,ORD00003542,2025-05-29 15:00:24,3555.88,GBP,Chargeback,Failed,PayPal
TXN00000163,ORD00004492,2025-11-18 15:00:24,3182.72,EUR,Chargeback,Pending,Authorize.Net
TXN00000164,ORD00001939,2025-10-26 15:00:24,4257.42,USD,Purchase,Success,PayPal
TXN00000165,ORD00002499,2025-08-05 15:00:24,4909.11,USD,Purchase,Success,PayPal
TXN00000166,ORD00003125,2025-02-26 15:00:24,4097.37,USD,Chargeback,Failed,PayPal
TXN00000167,ORD00004922,2025-04-07 15:00:24,568.49,USD,Refund,Failed,PayPal
TXN00000168,ORD00003116,2025-05-01 15:00:24,255.88,CAD,Refund,Pending,Square
TXN00000169,ORD00004998,2025-10-24 15:00:24,3314.73,EUR,Chargeback,Failed,Square
TXN00000170,ORD00003008,2025-02-22 15:00:24,1579.99,EUR,Purchase,Failed,Square
TXN00000171,ORD00000619,2025-12-03 15:00:24,1594.02,USD,Purchase,Failed,Authorize.Net
TXN00000172,ORD00000796,2025-05-11 15:00:24,2407.69,EUR,Refund,Failed,Stripe
TXN00000173,ORD00001026,2025-06-13 15:00:24,1462.95,GBP,Refund,Success,Square
TXN00000174,ORD00002670,2026-01-09 15:00:24,4960.84,EUR,Refund,Pending,Authorize.Net
TXN00000175,ORD00001117,2025-10-31 15:00:24,2761.09,EUR,Chargeback,Success,PayPal
TXN00000176,ORD00004098,2025-07-04 15:00:24,4555.25,USD,Chargeback,Pending,Square
TXN00000177,ORD00002944,2025-06-16 15:00:24,3285.69,USD,Purchase,Pending,Authorize.Net
TXN00000178,ORD00001072,2025-09-03 15:00:24,4463.37,GBP,Purchase,Success,PayPal
TXN00000179,ORD00000237,2025-12-12 15:00:24,4279.72,EUR,Purchase,Failed,Stripe
TXN00000180,ORD00000380,2025-04-13 15:00:24,3012.41,USD,Purchase,Failed,Authorize.Net
TXN00000181,ORD00004927,2025-03-31 15:00:24,3183.35,USD,Chargeback,Pending,Square
TXN00000182,ORD00002223,2025-08-28 15:00:24,245.52,GBP,Refund,Failed,Authorize.Net
TXN00000183,ORD00004283,2025-09-16 15:00:24,2505.99,CAD,Chargeback,Failed,PayPal
TXN00000184,ORD00003052,2025-09-19 15:00:24,3153.95,CAD,Refund,Pending,Square
TXN00000185,ORD00004630,2025-06-12 15:00:24,3029.64,EUR,Refund,Failed,Stripe
TXN00000186,ORD00000683,2025-04-19 15:00:24,4381.28,EUR,Refund,Failed,PayPal
TXN00000187,ORD00002382,2026-02-04 15:00:24,1741.25,EUR,Chargeback,Failed,PayPal
TXN00000188,ORD00002833,2025-05-01 15:00:24,4647.77,GBP,Chargeback,Success,PayPal
TXN00000189,ORD00003614,2026-01-04 15:00:24,2490.65,EUR,Chargeback,Failed,Square
TXN00000190,ORD00004989,2025-05-03 15:00:24,3483.15,CAD,Chargeback,Pending,PayPal
TXN00000191,ORD00003554,2025-05-02 15:00:24,162.86,USD,Chargeback,Pending,Stripe
TXN00000192,ORD00003504,2025-08-28 15:00:24,1833.65,USD,Chargeback,Success,Authorize.Net
TXN00000193,ORD00001955,2026-01-22 15:00:24,4074.61,CAD,Purchase,Failed,PayPal
TXN00000194,ORD00000072,2025-06-02 15:00:24,4452.93,USD,Purchase,Success,PayPal
TXN00000195,ORD00001029,2026-01-17 15:00:24,2370.26,CAD,Chargeback,Pending,Square
TXN00000196,ORD00002717,2025-08-02 15:00:24,115.94,GBP,Purchase,Pending,Authorize.Net
TXN00000197,ORD00003862,2025-12-20 15:00:24,4306.61,EUR,Chargeback,Pending,Stripe
TXN00000198,ORD00002823,2025-07-20 15:00:24,302.18,CAD,Purchase,Success,Authorize.Net
TXN00000199,ORD00003027,2025-11-21 15:00:24,300.31,EUR,Chargeback,Pending,PayPal
TXN00000200,ORD00003342,2025-08-20 15:00:24,1422.13,GBP,Purchase,Pending,PayPal
TXN00000201,ORD00003380,2025-11-24 15:00:24,2121.18,EUR,Chargeback,Success,Stripe
TXN00000202,ORD00001387,2025-12-25 15:00:24,4111.99,USD,Chargeback,Pending,Square
TXN00000203,ORD00004174,2025-03-31 15:00:24,977.91,USD,Refund,Pending,PayPal
TXN00000204,ORD00002242,2025-05-14 15:00:24,4840.26,USD,Purchase,Success,Stripe
TXN00000205,ORD00003147,2025-06-17 15:00:24,3997.1,EUR,Purchase,Success,PayPal
TXN00000206,ORD00000189,2025-12-28 15:00:24,1394.68,GBP,Chargeback,Success,Stripe
TXN00000207,ORD00002658,2025-12-03 15:00:24,806.45,USD,Purchase,Failed,Authorize.Net
TXN00000208,ORD00002304,2025-07-30 15:00:24,2898.69,CAD,Refund,Pending,Authorize.Net
TXN00000209,ORD00004055,2025-07-08 15:00:24,749.14,GBP,Purchase,Failed,Square
TXN00000210,ORD00002644,2025-11-30 15:00:24,4162.59,EUR,Chargeback,Success,Square
TXN00000211,ORD00001864,2025-10-15 15:00:24,1136.59,CAD,Purchase,Pending,Stripe
TXN00000212,ORD00001764,2025-03-05 15:00:24,1129.79,USD,Refund,Pending,Authorize.Net
TXN00000213,ORD00004570,2026-01-24 15:00:24,2081.88,CAD,Refund,Failed,Stripe
TXN00000214,ORD00003096,2025-04-06 15:00:24,2407.6,CAD,Chargeback,Failed,Authorize.Net
TXN00000215,ORD00002740,2025-09-04 15:00:24,630.71,CAD,Purchase,Success,Stripe
TXN00000216,ORD00004685,2025-06-07 15:00:24,3575.63,CAD,Chargeback,Pending,PayPal
TXN00000217,ORD00001331,2025-03-08 15:00:24,1719.65,CAD,Chargeback,Success,Square
TXN00000218,ORD00002507,2025-03-04 15:00:24,1613.62,USD,Purchase,Pending,Square
TXN00000219,ORD00000052,2025-07-06 15:00:24,3747.64,CAD,Purchase,Failed,PayPal
TXN00000220,ORD00004758,2025-10-31 15:00:24,458.44,GBP,Refund,Success,PayPal
TXN00000221,ORD00003323,2025-03-18 15:00:24,3126.03,GBP,Chargeback,Pending,PayPal
TXN00000222,ORD00002872,2025-03-14 15:00:24,4807.4,EUR,Chargeback,Failed,PayPal
TXN00000223,ORD00004460,2025-05-23 15:00:24,1848.38,USD,Purchase,Pending,PayPal
TXN00000224,ORD00001034,2025-08-21 15:00:24,3933.5,EUR,Chargeback,Failed,Authorize.Net
TXN00000225,ORD00002693,2025-02-28 15:00:24,371.28,CAD,Purchase,Pending,Square
TXN00000226,ORD00001473,2025-10-09 15:00:24,136.08,CAD,Chargeback,Success,PayPal
TXN00000227,ORD00003408,2025-06-17 15:00:24,2998.13,CAD,Purchase,Success,Stripe
TXN00000228,ORD00001643,2025-08-15 15:00:24,1064.1,USD,Chargeback,Failed,Square
TXN00000229,ORD00004224,2025-08-19 15:00:24,4518.07,CAD,Chargeback,Success,Authorize.Net
TXN00000230,ORD00000302,2026-01-11 15:00:24,36.2,USD,Refund,Pending,Authorize.Net
TXN00000231,ORD00002224,2025-02-16 15:00:24,3999.02,CAD,Purchase,Pending,Square
TXN00000232,ORD00003785,2025-04-01 15:00:24,79.89,CAD,Chargeback,Success,Square
TXN00000233,ORD00003453,2025-09-02 15:00:24,26.83,CAD,Purchase,Success,PayPal
TXN00000234,ORD00004924,2026-01-18 15:00:24,769.6,CAD,Chargeback,Success,Square
TXN00000235,ORD00002437,2025-12-13 15:00:24,818.83,GBP,Chargeback,Pending,Stripe
TXN00000236,ORD00002664,2025-07-12 15:00:24,3699.3,USD,Chargeback,Pending,Stripe
TXN00000237,ORD00001678,2025-05-29 15:00:24,2150.31,GBP,Chargeback,Failed,Stripe
TXN00000238,ORD00003535,2025-10-25 15:00:24,317.05,CAD,Chargeback,Failed,PayPal
TXN00000239,ORD00000915,2025-04-17 15:00:24,3955.32,GBP,Chargeback,Pending,Stripe
TXN00000240,ORD00000345,2025-11-02 15:00:24,2613.74,GBP,Purchase,Failed,Authorize.Net
TXN00000241,ORD00000606,2026-01-21 15:00:24,2037.49,EUR,Chargeback,Failed,PayPal
TXN00000242,ORD00002156,2025-07-10 15:00:24,4489.77,USD,Refund,Failed,Square
TXN00000243,ORD00002183,2025-11-26 15:00:24,3876.77,CAD,Chargeback,Failed,Authorize.Net
TXN00000244,ORD00003757,2025-11-17 15:00:24,3049.79,EUR,Purchase,Success,Square
TXN00000245,ORD00004044,2025-05-06 15:00:24,77.9,USD,Refund,Failed,Stripe
TXN00000246,ORD00002222,2025-12-04 15:00:24,2402.85,CAD,Refund,Failed,Square
TXN00000247,ORD00004718,2025-04-21 15:00:24,3621.78,USD,Refund,Failed,Square
TXN00000248,ORD00002378,2025-08-24 15:00:24,407.41,USD,Purchase,Pending,Stripe
TXN00000249,ORD00001304,2025-12-25 15:00:24,2000.15,GBP,Purchase,Pending,PayPal
TXN00000250,ORD00004771,2025-06-02 15:00:24,4909.38,GBP,Refund,Pending,Authorize.Net
TXN00000251,ORD00004831,2025-04-09 15:00:24,2829.83,USD,Chargeback,Success,PayPal
TXN00000252,ORD00000008,2025-05-04 15:00:24,3502.86,CAD,Refund,Success,Stripe
TXN00000253,ORD00000332,2025-05-15 15:00:24,4415.47,EUR,Purchase,Pending,Square
TXN00000254,ORD00003875,2026-01-01 15:00:24,1137.34,USD,Purchase,Success,Stripe
TXN00000255,ORD00002107,2025-10-02 15:00:24,2242.07,USD,Purchase,Success,Square
TXN00000256,ORD00000646,2026-01-23 15:00:24,1113.41,CAD,Chargeback,Success,Stripe
TXN00000257,ORD00002651,2025-10-14 15:00:24,3900.03,GBP,Refund,Success,PayPal
TXN00000258,ORD00004775,2025-12-06 15:00:24,4096.04,CAD,Chargeback,Pending,Authorize.Net
TXN00000259,ORD00001910,2025-04-02 15:00:24,540.93,USD,Purchase,Pending,PayPal
TXN00000260,ORD00002617,2025-03-22 15:00:24,4006.55,CAD,Chargeback,Pending,Stripe
TXN00000261,ORD00003164,2025-08-17 15:00:24,1936.74,CAD,Purchase,Success,Authorize.Net
TXN00000262,ORD00000596,2025-07-30 15:00:24,319.41,USD,Refund,Success,PayPal
TXN00000263,ORD00003403,2025-06-23 15:00:24,3434.53,EUR,Chargeback,Failed,Stripe
TXN00000264,ORD00002168,2025-09-05 15:00:24,1398.32,EUR,Chargeback,Success,Stripe
TXN00000265,ORD00000257,2025-08-27 15:00:24,4147.17,CAD,Chargeback,Success,Authorize.Net
TXN00000266,ORD00004433,2025-12-14 15:00:24,3927.27,USD,Purchase,Failed,Authorize.Net
TXN00000267,ORD00000384,2026-01-01 15:00:24,2305.23,CAD,Purchase,Pending,Square
TXN00000268,ORD00004691,2025-11-07 15:00:24,3796.95,EUR,Purchase,Failed,Square
TXN00000269,ORD00003233,2025-08-09 15:00:24,2069.75,EUR,Purchase,Failed,Stripe
TXN00000270,ORD00000377,2025-03-02 15:00:24,4598.43,GBP,Refund,Failed,Square
TXN00000271,ORD00003645,2025-04-13 15:00:24,999.21,USD,Chargeback,Success,Authorize.Net
TXN00000272,ORD00003878,2026-01-06 15:00:24,3441.16,GBP,Chargeback,Pending,PayPal
TXN00000273,ORD00001520,2026-01-14 15:00:24,370.4,GBP,Refund,Pending,Authorize.Net
TXN00000274,ORD00004018,2025-07-28 15:00:24,2828.84,EUR,Refund,Success,Stripe
TXN00000275,ORD00000962,2025-11-09 15:00:24,2229.69,EUR,Chargeback,Success,Stripe
TXN00000276,ORD00003783,2025-10-30 15:00:24,1454.5,GBP,Purchase,Pending,PayPal
TXN00000277,ORD00001261,2025-09-10 15:00:24,1336.93,GBP,Refund,Failed,Square
TXN00000278,ORD00002501,2025-12-08 15:00:24,3111.18,CAD,Purchase,Failed,Square
TXN00000279,ORD00001970,2025-05-28 15:00:24,4186.05,GBP,Refund,Failed,Stripe
TXN00000280,ORD00001651,2025-11-16 15:00:24,2996.95,GBP,Purchase,Success,Square
TXN00000281,ORD00000529,2025-02-23 15:00:24,436.31,GBP,Chargeback,Success,Square
