order_id,customer_id,order_date,order_amount,order_status,payment_method,shipping_country,discount_applied
ORD00000028,CUST001264,2025-10-20,278.68,Pending,Debit Card,UK,15
ORD00000029,CUST000881,2025-10-06,1403.82,Cancelled,Bank Transfer,Spain,0
ORD00000030,CUST000203,2025-07-24,2944.56,Shipped,Bank Transfer,USA,10
ORD00000031,CUST001450,2025-06-26,1150.08,Delivered,Credit Card,UK,15
ORD00000032,CUST001551,2025-06-30,1372.81,Delivered,Bank Transfer,Spain,15
ORD00000033,CUST001010,2025-07-24,3400.98,Cancelled,Credit Card,UK,15
ORD00000034,CUST001779,2025-04-08,4972.06,Pending,Credit Card,UK,15
ORD00000035,CUST000583,2025-08-18,3682.74,Returned,PayPal,UK,0
ORD00000036,CUST000221,2025-11-27,4657.08,Cancelled,Credit Card,USA,20
ORD00000037,CUST000240,2025-12-06,3202.64,Returned,Debit Card,Spain,25
ORD00000038,CUST000664,2026-01-13,2421.76,Pending,Credit Card,Canada,0
ORD00000039,CUST000132,2025-06-01,4569.15,Returned,PayPal,UK,15
ORD00000040,CUST001823,2025-12-20,1245.55,Shipped,Debit Card,Italy,15
ORD00000041,CUST001118,2025-03-08,3695.93,Pending,Credit Card,Spain,5
ORD00000042,CUST000778,2025-09-12,432.92,Pending,Credit Card,Italy,25
ORD00000043,CUST000503,2025-08-30,1224.79,Delivered,Debit Card,Spain,10
ORD00000044,CUST000229,2025-08-21,4376.91,Delivered,Credit Card,Australia,15
ORD00000045,CUST000478,2025-08-20,2977.28,Shipped,PayPal,Canada,10
ORD00000046,CUST001800,2025-03-03,4845.78,Returned,PayPal,Italy,10
ORD00000047,CUST000509,2025-05-22,2640.73,Delivered,Credit Card,USA,15
ORD00000048,CUST000654,2025-10-07,1097.31,Pending,Credit Card,Canada,0
ORD00000049,CUST000398,2026-01-23,1494.65,Cancelled,Debit Card,France,0
ORD00000050,CUST001079,2025-05-01,3954.0,Shipped,Credit Card,USA,15
ORD00000051,CUST000621,2025-08-04,1576.19,Delivered,Debit Card,Spain,25
ORD00000052,CUST000883,2025-03-19,4112.81,Pending,Bank Transfer,USA,20
ORD00000053,CUST000741,2025-04-19,2769.0,Returned,Debit Card,Australia,10
ORD00000054,CUST000755,2025-10-26,1148.69,Delivered,Credit Card,Italy,0
ORD00000055,CUST001085,2025-10-01,1385.91,Delivered,PayPal,Germany,0
ORD00000056,CUST000215,2025-09-05,1921.44,Returned,Credit Card,UK,20
ORD00000057,CUST000540,2026-02-11,728.55,Delivered,Bank Transfer,Germany,0
ORD00000058,CUST000132,2025-07-31,2892.29,Returned,Debit Card,Spain,10
ORD00000059,CUST001258,2025-08-27,2587.82,Cancelled,Debit Card,France,10
ORD00000060,CUST000443,2025-08-01,4505.15,Delivered,Debit Card,Italy,0
ORD00000061,CUST001674,2025-09-19,3958.66,Cancelled,Bank Transfer,Australia,15
ORD00000062,CUST000527,2025-05-08,2253.14,Shipped,Bank Transfer,France,15
ORD00000063,CUST000337,2025-11-16,2596.69,Returned,Credit Card,Italy,5
ORD00000064,CUST001995,2025-11-22,2392.82,Cancelled,Credit Card,Canada,0
ORD00000065,CUST000348,2025-04-15,3177.55,Cancelled,Credit Card,Italy,0
ORD00000066,CUST000133,2025-07-28,2487.4,Shipped,Debit Card,Canada,20
ORD00000067,CUST000166,2025-05-07,580.63,Shipped,Bank Transfer,UK,10
ORD00000068,CUST000389,2025-10-22,3240.77,Shipped,Credit Card,France,10
ORD00000069,CUST001050,2026-01-06,1373.82,Cancelled,PayPal,Italy,10
ORD00000070,CUST001315,2026-01-08,4409.11,Shipped,Debit Card,Canada,5
ORD00000071,CUST001364,2025-10-16,1247.56,Pending,PayPal,UK,15
ORD00000072,CUST001901,2025-06-05,375.39,Returned,Bank Transfer,France,15
ORD00000073,CUST000762,2025-04-07,61.14,Delivered,PayPal,Australia,10
ORD00000074,CUST001918,2025-07-10,4909.32,Returned,Bank Transfer,UK,10
ORD00000075,CUST000011,2025-04-13,2762.7,Shipped,Debit Card,Italy,25
ORD00000076,CUST000188,2025-12-12,4169.76,Delivered,Bank Transfer,Italy,20
ORD00000077,CUST000061,2025-10-30,1860.21,Returned,Bank Transfer,Canada,10
ORD00000078,CUST001202,2025-04-07,3649.82,Pending,Debit Card,UK,5
ORD00000079,CUST000569,2026-01-06,4303.82,Returned,Bank Transfer,UK,10
ORD00000080,CUST001597,2025-03-02,1141.26,Delivered,Bank Transfer,Canada,0
ORD00000081,CUST000211,2025-11-23,3024.6,Cancelled,PayPal,UK,10
ORD00000082,CUST001565,2025-10-13,1228.16,Cancelled,PayPal,UK,0
ORD00000083,CUST000895,2025-06-11,2526.57,Pending,PayPal,France,5
ORD00000084,CUST001020,2025-03-04,4304.1,Delivered,Bank Transfer,Germany,20
ORD00000085,CUST001044,2025-07-12,1296.87,Pending,Credit Card,Spain,10
ORD00000086,CUST001798,2025-02-16,3601.18,Pending,Credit Card,France,15
ORD00000087,CUST000444,2025-03-23,4649.42,Delivered,Debit Card,Italy,10
ORD00000088,CUST001647,2026-01-26,175.57,Returned,PayPal,USA,5
ORD00000089,CUST001613,2025-06-30,2090.22,Shipped,PayPal,Italy,0
ORD00000090,CUST001977,2025-09-16,2008.38,Pending,Credit Card,Italy,0
ORD00000091,CUST000036,2025-02-22,4424.07,Pending,Debit Card,Germany,20
ORD00000092,CUST000193,2025-03-19,4653.73,Cancelled,Credit Card,Australia,15
ORD00000093,CUST000772,2025-02-20,4968.08,Pending,Bank Transfer,USA,0
ORD00000094,CUST001112,2025-10-07,1410.83,Shipped,PayPal,USA,10
ORD00000095,CUST000525,2025-09-10,3492.36,Returned,Debit Card,Spain,15
ORD00000096,CUST000964,2025-07-27,4245.66,Shipped,PayPal,UK,10
ORD00000097,CUST000082,2025-08-15,3398.63,Delivered,Credit Card,France,10
ORD00000098,CUST000056,2025-12-23,1431.41,Cancelled,Bank Transfer,Italy,5
ORD00000099,CUST000643,2026-01-13,2500.8,Delivered,PayPal,Australia,10
ORD00000100,CUST001564,2025-04-10,3760.82,Returned,Bank Transfer,UK,15
ORD00000101,CUST001942,2025-03-14,2280.7,Pending,PayPal,USA,25
ORD00000102,CUST001990,2025-07-27,4343.94,Pending,Bank Transfer,UK,15
ORD00000103,CUST001951,2025-06-19,1004.35,Delivered,PayPal,Italy,5
ORD00000104,CUST000036,2025-02-17,1829.61,Pending,Credit Card,Canada,15
ORD00000105,CUST000920,2026-01-28,1199.84,Returned,PayPal,USA,5
ORD00000106,CUST001752,2025-06-08,1874.62,Shipped,Debit Card,Australia,25
ORD00000107,CUST000446,2025-05-03,1435.19,Cancelled,Bank Transfer,Germany,15
ORD00000108,CUST001664,2025-03-13,3131.47,Shipped,Bank Transfer,Germany,5
ORD00000109,CUST000474,2025-11-01,4734.6,Cancelled,Bank Transfer,USA,20
ORD00000110,,2025-12-09,2889.58,Shipped,Credit Card,UK,10
ORD00000111,CUST001096,2025-10-23,3260.49,Cancelled,Debit Card,France,5
ORD00000112,CUST000358,2025-09-22,1537.6,Pending,Debit Card,France,10
ORD00000113,CUST000669,2025-12-24,1575.91,Cancelled,Bank Transfer,Canada,20
ORD00000114,CUST000449,2025-06-19,745.01,Delivered,Credit Card,USA,20
ORD00000115,CUST001326,2025-08-15,1146.51,Returned,Credit Card,Germany,25
ORD00000116,CUST000077,2025-09-24,2269.51,Returned,Bank Transfer,Australia,20
ORD00000117,CUST001730,2025-09-05,140.33,Cancelled,PayPal,Canada,0
ORD00000118,CUST000347,2026-01-11,3397.72,Delivered,Credit Card,Australia,25
ORD00000119,CUST001236,2025-09-17,4370.25,Cancelled,PayPal,Australia,20
ORD00000120,CUST001273,2025-03-10,4351.73,Delivered,Bank Transfer,Canada,15
ORD00000121,CUST001287,2025-03-12,512.48,Delivered,Debit Card,Italy,0
ORD00000122,CUST001728,2025-10-23,4461.54,Returned,Bank Transfer,Germany,10
ORD00000123,CUST001465,2025-09-25,2942.53,Shipped,Credit Card,Australia,0
ORD00000124,CUST001387,2025-10-19,4664.79,Cancelled,PayPal,Canada,25
ORD00000125,CUST000232,2026-01-20,2219.43,Returned,PayPal,France,10
ORD00000126,CUST000402,2025-11-07,428.15,Returned,Bank Transfer,Italy,10
ORD00000127,CUST001118,2025-12-01,1564.13,Cancelled,Debit Card,USA,20
ORD00000128,CUST000741,2025-07-19,188.43,Pending,Credit Card,USA,20
ORD00000129,CUST000846,2025-04-26,2603.45,Pending,Debit Card,Canada,20
ORD00000130,CUST001619,2025-04-28,1846.99,Returned,Credit Card,Australia,0
ORD00000131,CUST000454,2025-09-09,888.06,Cancelled,PayPal,Germany,0
ORD00000132,CUST000130,2025-07-19,1451.75,Returned,Credit Card,UK,10
ORD00000133,CUST001267,2025-07-26,3563.64,Returned,Credit Card,Germany,5
ORD00000134,CUST001610,2025-03-20,1435.61,Shipped,Bank Transfer,Spain,15
ORD00000135,CUST000210,2025-11-17,4731.9,Pending,PayPal,Germany,10
ORD00000136,CUST001587,2025-11-07,4934.51,Shipped,PayPal,Spain,20
ORD00000137,CUST000630,2025-02-16,4519.41,Cancelled,Bank Transfer,USA,10
ORD00000138,CUST001110,2025-06-20,1820.63,Delivered,Bank Transfer,USA,10
ORD00000139,CUST000349,2025-02-22,1957.32,Delivered,Bank Transfer,Australia,0
ORD00000140,CUST000738,2025-05-15,49.82,Shipped,Debit Card,Germany,20
ORD00000141,CUST000467,2025-05-12,4096.5,Returned,Credit Card,France,5
ORD00000142,CUST000593,2025-06-09,1083.72,Pending,Credit Card,Spain,0
ORD00000143,CUST002000,2025-11-04,4145.59,Shipped,Debit Card,UK,0
ORD00000144,CUST000652,2025-11-04,3508.85,Pending,PayPal,Germany,5
ORD00000145,CUST000350,2025-08-15,2846.16,Cancelled,Bank Transfer,Italy,15
ORD00000146,CUST001258,2025-05-26,976.09,Shipped,Debit Card,Spain,20
ORD00000147,CUST000513,2025-06-16,2320.41,Cancelled,Bank Transfer,USA,5
ORD00000148,CUST001421,2025-09-05,4643.04,Returned,Credit Card,Canada,10
ORD00000149,CUST001764,2025-03-02,2217.36,Delivered,Credit Card,UK,15
ORD00000150,CUST001528,2025-03-08,460.52,Cancelled,PayPal,France,10
ORD00000151,CUST000358,2025-11-03,4475.05,Cancelled,Credit Card,Germany,5
ORD00000152,CUST000520,2025-12-14,1191.92,Cancelled,Credit Card,Italy,15
ORD00000153,CUST001673,2025-08-18,1048.33,Cancelled,PayPal,France,10
ORD00000154,CUST001599,2025-07-04,3994.97,Returned,PayPal,Spain,20
ORD00000155,CUST001655,2025-04-25,2047.81,Delivered,PayPal,USA,20
ORD00000156,CUST001353,2025-05-08,266.38,Delivered,Credit Card,USA,25
ORD00000157,CUST001627,2025-04-25,2555.83,Shipped,PayPal,France,25
ORD00000158,CUST001708,2025-04-13,1966.52,Pending,PayPal,Italy,5
ORD00000159,CUST000243,2026-01-15,3459.51,Delivered,Bank Transfer,Spain,0
ORD00000160,CUST001388,2025-10-12,3727.39,Pending,Credit Card,USA,15
ORD00000161,CUST001061,2025-08-21,3407.86,Pending,Debit Card,Spain,5
ORD00000162,CUST000073,2025-12-16,1860.24,Pending,PayPal,UK,5
ORD00000163,CUST001898,2025-11-15,3470.34,Delivered,Debit Card,Spain,25
ORD00000164,CUST000326,2025-08-30,1094.0,Shipped,Bank Transfer,UK,20
ORD00000165,CUST000898,2026-02-05,3575.66,Delivered,Credit Card,Italy,15
ORD00000166,CUST001770,2025-09-24,1857.43,Cancelled,Debit Card,UK,0
ORD00000167,CUST000421,2025-03-02,4016.74,Delivered,Credit Card,UK,10
ORD00000168,CUST001857,2025-05-24,1274.69,Returned,Bank Transfer,Australia,25
ORD00000169,CUST001599,2025-06-17,1143.39,Shipped,PayPal,USA,15
ORD00000170,CUST001293,2025-08-27,816.23,Delivered,Debit Card,Italy,25
ORD00000171,CUST001860,2026-01-18,2542.98,Pending,Debit Card,Italy,0
ORD00000172,,2025-03-07,2196.38,Cancelled,PayPal,Spain,25
ORD00000173,CUST000677,2025-06-28,3443.63,Cancelled,Debit Card,UK,25
ORD00000174,CUST001351,2025-10-08,1094.89,Shipped,Credit Card,Canada,20
ORD00000175,CUST000629,2026-01-16,759.96,Returned,Credit Card,Germany,25
ORD00000176,CUST001910,2025-03-08,1830.66,Pending,Debit Card,France,0
ORD00000177,CUST000860,2025-09-30,496.49,Returned,Credit Card,France,5
ORD00000178,CUST001641,2025-07-27,1101.59,Returned,PayPal,USA,5
ORD00000179,CUST001337,2025-09-12,297.51,Returned,Debit Card,Germany,20
ORD00000180,CUST000042,2025-10-06,4816.59,Returned,Credit Card,France,5
ORD00000181,CUST001008,2025-12-29,-14.24,Pending,Bank Transfer,UK,25
ORD00000182,CUST000716,2025-12-13,2890.31,Returned,PayPal,France,20
ORD00000183,CUST001045,2025-10-14,1034.42,Shipped,Credit Card,Germany,25
ORD00000184,CUST001130,2025-12-14,4648.8,Delivered,PayPal,Italy,20
ORD00000185,CUST001804,2025-05-20,2521.87,Returned,PayPal,Canada,20
ORD00000186,CUST001067,2026-01-21,3000.21,Returned,Credit Card,Italy,25
ORD00000187,CUST001901,2025-03-22,106.34,Returned,Bank Transfer,Australia,25
ORD00000188,CUST001238,2025-11-29,3628.58,Cancelled,Debit Card,UK,0
ORD00000189,CUST000282,2025-08-10,560.34,Delivered,Debit Card,Australia,15
ORD00000190,CUST001003,2025-08-03,1582.29,Delivered,Bank Transfer,Italy,15
ORD00000191,CUST000359,2025-08-24,929.49,Delivered,Bank Transfer,Canada,20
ORD00000192,CUST001220,2025-02-21,4499.94,Delivered,Bank Transfer,USA,10
ORD00000193,CUST000204,2025-03-09,4517.29,Delivered,PayPal,Spain,10
ORD00000194,CUST000959,2026-01-20,254.94,Delivered,Bank Transfer,UK,25
ORD00000195,CUST001856,2026-01-29,3659.76,Delivered,Bank Transfer,Australia,5
ORD00000196,CUST000526,2025-06-22,3110.54,Delivered,Debit Card,Germany,15
ORD00000197,CUST000160,2025-09-28,4063.62,Pending,Bank Transfer,UK,5
ORD00000198,CUST000810,2025-07-07,461.29,Delivered,Debit Card,USA,15
ORD00000199,CUST000046,2025-08-03,4545.19,Shipped,Debit Card,Canada,25
ORD00000200,CUST001527,2025-07-05,2648.9,Shipped,Credit Card,Italy,25
ORD00000201,CUST000709,2025-04-14,384.02,Pending,PayPal,UK,5
ORD00000202,CUST000405,2025-04-14,-28.84,Delivered,Bank Transfer,France,25
ORD00000203,CUST000495,2025-05-14,952.31,Delivered,Credit Card,Australia,10
ORD00000204,CUST001929,2025-04-18,1816.67,Cancelled,Credit Card,UK,20
ORD00000205,CUST000633,2025-03-06,912.14,Shipped,Bank Transfer,Canada,5
ORD00000206,CUST001571,2025-09-17,3900.31,Shipped,PayPal,Germany,0
ORD00000207,CUST000920,2025-07-27,1496.7,Cancelled,Credit Card,Spain,20
ORD00000208,CUST001937,2025-11-17,3959.44,Pending,PayPal,Spain,5
ORD00000209,CUST000439,2025-07-25,4979.9,Cancelled,Credit Card,Germany,20
ORD00000210,CUST000696,2025-09-13,2629.59,Delivered,Credit Card,USA,25
ORD00000211,CUST001244,2025-10-23,2868.2,Delivered,PayPal,Spain,20
ORD00000212,CUST001076,2025-05-13,290.45,Returned,Bank Transfer,Italy,20
ORD00000213,CUST001520,2025-07-13,438.14,Delivered,Credit Card,USA,25
ORD00000214,CUST001872,2026-01-21,289.76,Cancelled,Debit Card,Germany,15
ORD00000215,CUST000019,2025-11-19,2333.51,Shipped,Debit Card,USA,20
ORD00000216,CUST000926,2025-09-23,4752.52,Pending,Credit Card,Italy,15
ORD00000217,CUST001845,2025-12-27,4807.42,Delivered,Credit Card,Italy,25
ORD00000218,CUST000693,2025-09-07,3501.43,Delivered,Debit Card,France,20
ORD00000219,CUST000269,2025-12-20,307.25,Delivered,PayPal,Germany,5
ORD00000220,CUST001394,2026-01-06,887.46,Delivered,Debit Card,Australia,10
ORD00000221,CUST001234,2026-01-08,4780.54,Pending,PayPal,UK,5
ORD00000222,CUST000821,2025-05-14,835.09,Delivered,PayPal,Italy,0
ORD00000223,CUST001096,2025-06-12,4409.3,Shipped,PayPal,Germany,5
ORD00000224,,2025-09-25,3081.86,Cancelled,Debit Card,USA,10
ORD00000225,CUST000763,2026-01-01,1271.21,Returned,PayPal,Germany,15
ORD00000226,CUST000911,2025-11-19,932.04,Pending,Bank Transfer,Spain,15
ORD00000227,CUST000392,2025-11-30,2366.6,Returned,Credit Card,Italy,5
ORD00000228,CUST000148,2025-08-25,4205.88,Pending,Bank Transfer,Italy,20
ORD00000229,,2025-07-21,2867.68,Delivered,PayPal,Australia,10
ORD00000230,CUST001917,2025-06-26,991.5,Delivered,PayPal,Australia,15
ORD00000231,CUST001485,2025-09-24,3112.22,Cancelled,Debit Card,Spain,0
ORD00000232,CUST000375,2025-09-17,2291.99,Delivered,Credit Card,UK,25
ORD00000233,CUST000897,2025-06-23,4637.01,Delivered,PayPal,Italy,5
ORD00000234,CUST001090,2025-06-08,498.52,Delivered,Credit Card,Canada,5
ORD00000235,CUST000028,2025-12-25,840.78,Cancelled,PayPal,Australia,25
ORD00000236,CUST001458,2025-11-11,3947.07,Shipped,Credit Card,France,20
ORD00000237,CUST000370,2026-01-13,596.95,Delivered,Bank Transfer,Canada,25
ORD00000238,CUST000212,2025-02-19,1058.3,Pending,PayPal,USA,15
ORD00000239,CUST001057,2025-03-02,2455.96,Shipped,PayPal,Italy,25
ORD00000240,CUST000437,2025-06-27,4077.42,Returned,Credit Card,Spain,20
ORD00000241,CUST001591,2025-10-19,963.36,Shipped,Bank Transfer,Spain,25
ORD00000242,CUST000013,2025-09-28,338.8,Returned,Bank Transfer,France,25
ORD00000243,CUST000239,2025-08-23,4272.74,Shipped,PayPal,Germany,25
ORD00000244,CUST000089,2025-03-23,1290.01,Shipped,Credit Card,UK,5
ORD00000245,CUST000891,2025-12-29,2517.86,Returned,Credit Card,Spain,10
ORD00000246,CUST001331,2026-01-19,19.56,Cancelled,Debit Card,Italy,0
ORD00000247,CUST001801,2025-03-20,270.69,Cancelled,Credit Card,Australia,5
ORD00000248,CUST001634,2025-04-21,197.74,Returned,Credit Card,USA,25
ORD00000249,CUST001980,2025-07-08,1473.68,Shipped,Debit Card,Australia,5
ORD00000250,CUST000469,2025-11-15,1875.99,Cancelled,Bank Transfer,Spain,15
ORD00000251,CUST000931,2025-04-18,2059.99,Shipped,PayPal,USA,0
ORD00000252,CUST000404,2025-04-19,3877.9,Pending,Credit Card,Spain,5
ORD00000253,CUST001576,2025-03-15,2741.5,Delivered,Debit Card,France,15
ORD00000254,CUST000754,2025-02-22,3473.76,Cancelled,Credit Card,UK,5
ORD00000255,CUST001644,2025-02-18,1203.38,Returned,Bank Transfer,Canada,0
ORD00000256,CUST001981,2025-09-29,2592.74,Shipped,Debit Card,Germany,0
ORD00000257,CUST001284,2025-11-08,263.77,Delivered,Bank Transfer,Italy,20
ORD00000258,CUST001871,2025-05-31,4332.96,Shipped,Bank Transfer,Canada,0
ORD00000259,CUST001376,2025-07-13,68.25,Delivered,PayPal,USA,15
ORD00000260,CUST000573,2025-08-25,4597.63,Shipped,Bank Transfer,Italy,20
ORD00000261,CUST001499,2025-12-14,3754.47,Cancelled,Bank Transfer,Australia,0
ORD00000262,,2025-07-21,386.44,Delivered,Debit Card,Canada,15
ORD00000263,CUST001832,2025-05-11,4413.71,Delivered,Bank Transfer,France,10
ORD00000264,CUST000978,2025-05-01,113.77,Returned,Credit Card,UK,15
ORD00000265,CUST000175,2025-11-19,3682.92,Shipped,PayPal,UK,5
ORD00000266,CUST000882,2025-04-08,1891.0,Delivered,Debit Card,Spain,10
ORD00000267,CUST001287,2025-07-25,3743.38,Returned,PayPal,USA,15
ORD00000268,CUST000033,2025-06-15,1151.34,Pending,Debit Card,Germany,20
ORD00000269,CUST000308,2026-02-13,1317.03,Pending,Bank Transfer,Canada,25
ORD00000270,CUST000036,2025-06-16,-28.26,Shipped,PayPal,Australia,5
ORD00000271,CUST000559,2025-08-15,1609.88,Delivered,Bank Transfer,Italy,20
ORD00000272,CUST000458,2025-10-01,4007.18,Shipped,Bank Transfer,Germany,0
ORD00000273,CUST000749,2025-03-31,640.12,Returned,PayPal,USA,0
ORD00000274,CUST001707,2025-11-10,3798.51,Shipped,Credit Card,Australia,20
ORD00000275,CUST001964,2025-05-07,3269.63,Delivered,PayPal,Italy,5
ORD00000276,CUST000074,2026-02-01,2208.32,Pending,Bank Transfer,USA,10
ORD00000277,CUST000485,2025-09-29,4817.89,Pending,Bank Transfer,Spain,25
ORD00000278,CUST001405,2025-11-02,2818.74,Pending,Credit Card,Italy,5
ORD00000279,CUST001887,2025-02-26,1510.72,Cancelled,Bank Transfer,USA,20
ORD00000280,CUST001620,2025-09-02,1987.9,Pending,Credit Card,Spain,15
ORD00000281,CUST000486,2025-06-12,2403.6,Returned,Credit Card,UK,20
ORD00000282,CUST000891,2026-02-08,45.83,Returned,Credit Card,Germany,25
ORD00000283,CUST001728,2025-11-26,4210.08,Shipped,Credit Card,France,5
ORD00000284,CUST000300,2025-12-14,3724.41,Shipped,Debit Card,Australia,20
ORD00000285,CUST001300,2025-12-14,4848.7,Returned,PayPal,Canada,15
ORD00000286,CUST000722,2025-11-13,3739.2,Shipped,PayPal,UK,0
ORD00000287,CUST001739,2025-06-25,2965.5,Pending,PayPal,Italy,15
ORD00000288,CUST000366,2025-11-25,3551.08,Returned,Bank Transfer,Spain,20
ORD00000289,CUST000767,2025-12-18,3789.74,Returned,Bank Transfer,USA,15
ORD00000290,,2025-10-24,3834.37,Returned,Bank Transfer,USA,0
ORD00000291,,2025-05-14,1612.96,Shipped,Credit Card,USA,5
ORD00000292,CUST000956,2025-08-19,4189.85,Returned,PayPal,Spain,0
ORD00000293,CUST000313,2025-10-01,-88.27,Delivered,Bank Transfer,France,10
ORD00000294,,2025-10-06,2275.98,Pending,Bank Transfer,Canada,20
ORD00000295,CUST001273,2025-05-05,2022.9,Shipped,Bank Transfer,USA,0
ORD00000296,CUST001936,2025-04-23,2311.32,Delivered,Bank Transfer,USA,10
ORD00000297,CUST000654,2026-02-05,3449.94,Cancelled,Bank Transfer,Italy,25
ORD00000298,CUST000011,2025-09-25,4011.0,Cancelled,PayPal,Canada,20
ORD00000299,CUST000336,2026-01-25,4147.36,Cancelled,PayPal,UK,15
ORD00000300,CUST001817,2025-06-20,2829.79,Shipped,Credit Card,Canada,25
ORD00000301,CUST000735,2025-10-13,2001.29,Shipped,PayPal,France,10
ORD00000302,CUST001108,2025-06-21,4453.05,Delivered,Credit Card,Canada,25
ORD00000303,CUST000043,2025-03-13,3908.96,Pending,Credit Card,France,25
ORD00000304,CUST001806,2025-04-15,313.83,Delivered,Bank Transfer,Spain,15
ORD00000305,CUST000508,2025-11-25,2976.92,Returned,Bank Transfer,Spain,5
ORD00000306,CUST001194,2025-05-29,949.94,Shipped,Credit Card,USA,15
ORD00000307,CUST001088,2025-08-06,4257.68,Delivered,Bank Transfer,UK,5
ORD00000308,CUST000346,2026-02-07,2821.09,Shipped,Debit Card,France,5
ORD00000309,CUST001926,2026-01-22,660.13,Cancelled,Debit Card,Spain,10
ORD00000310,CUST000143,2025-09-06,4837.02,Pending,Credit Card,Spain,5
ORD00000311,CUST000149,2025-08-23,3792.9,Delivered,PayPal,USA,15
ORD00000312,CUST000285,2026-01-01,3308.99,Returned,Debit Card,Canada,25
ORD00000313,CUST001147,2025-07-27,2651.99,Shipped,Debit Card,Italy,0
ORD00000314,CUST001084,2025-11-17,2757.28,Shipped,Debit Card,Spain,25
ORD00000315,CUST001655,2025-12-02,1387.51,Shipped,Debit Card,Spain,10
ORD00000316,CUST001608,2025-04-04,2961.02,Shipped,PayPal,Canada,25
ORD00000317,CUST000462,2025-12-09,1838.5,Returned,PayPal,France,0
ORD00000318,CUST001153,2026-02-03,1278.11,Returned,Bank Transfer,UK,20
ORD00000319,CUST000818,2025-07-14,4450.44,Delivered,Debit Card,UK,15
ORD00000320,CUST001842,2025-08-31,758.63,Cancelled,Credit Card,USA,10
ORD00000321,CUST000794,2025-10-10,1864.26,Returned,Credit Card,Canada,15
ORD00000322,CUST001421,2025-12-11,3100.73,Shipped,Credit Card,France,10
ORD00000323,CUST000297,2025-06-11,2667.57,Delivered,PayPal,Italy,5
ORD00000324,CUST001080,2025-06-28,4066.79,Shipped,Bank Transfer,Spain,20
ORD00000325,CUST001696,2025-09-14,534.3,Shipped,Credit Card,UK,25
ORD00000326,CUST000175,2025-03-25,3412.11,Pending,Debit Card,USA,15
ORD00000327,CUST001643,2025-09-09,3816.45,Pending,Bank Transfer,Spain,0
ORD00000328,CUST000500,2025-04-07,2231.15,Shipped,PayPal,Spain,0
ORD00000329,CUST000896,2025-10-06,-61.02,Returned,Debit Card,USA,0
ORD00000330,CUST000373,2025-05-01,764.38,Shipped,PayPal,France,5
ORD00000331,CUST001708,2025-06-05,1606.74,Delivered,Credit Card,Canada,0
ORD00000332,CUST000659,2025-12-26,834.98,Cancelled,PayPal,Germany,25
ORD00000333,CUST001243,2025-08-20,3262.35,Returned,Bank Transfer,Canada,15
ORD00000334,CUST001706,2025-09-08,2818.19,Pending,Debit Card,USA,25
ORD00000335,CUST000546,2026-01-02,1353.16,Delivered,Bank Transfer,France,20
ORD00000336,CUST001215,2025-09-07,3771.8,Delivered,Credit Card,Germany,20
ORD00000337,CUST001616,2025-07-02,68.38,Shipped,Bank Transfer,Australia,5
